"","LABID","new.fname","Sample","well","plate"
"923","z0043650","z0043650_Mnov_GTseek_026_155_PLT_6_R1.fastq","GTseek_026_384i5_155_PLT_6_43650_R1.fastq","155","6"
"924","z0043650","z0043650_Mnov_GTseek_026_155_PLT_6_R2.fastq","GTseek_026_384i5_155_PLT_6_43650_R2.fastq","155","6"
"925","z0043652","z0043652_Mnov_GTseek_026_157_PLT_6_R1.fastq","GTseek_026_384i5_157_PLT_6_43652_R1.fastq","157","6"
"926","z0043652","z0043652_Mnov_GTseek_026_157_PLT_6_R2.fastq","GTseek_026_384i5_157_PLT_6_43652_R2.fastq","157","6"
"927","z0043666","z0043666_Mnov_GTseek_026_159_PLT_6_R1.fastq","GTseek_026_384i5_159_PLT_6_43666_R1.fastq","159","6"
"928","z0043666","z0043666_Mnov_GTseek_026_159_PLT_6_R2.fastq","GTseek_026_384i5_159_PLT_6_43666_R2.fastq","159","6"
"929","z0043668","z0043668_Mnov_GTseek_026_161_PLT_6_R1.fastq","GTseek_026_384i5_161_PLT_6_43668_R1.fastq","161","6"
"930","z0043668","z0043668_Mnov_GTseek_026_161_PLT_6_R2.fastq","GTseek_026_384i5_161_PLT_6_43668_R2.fastq","161","6"
"931","z0043674","z0043674_Mnov_GTseek_026_163_PLT_6_R1.fastq","GTseek_026_384i5_163_PLT_6_43674_R1.fastq","163","6"
"932","z0043674","z0043674_Mnov_GTseek_026_163_PLT_6_R2.fastq","GTseek_026_384i5_163_PLT_6_43674_R2.fastq","163","6"
"933","z0043684","z0043684_Mnov_GTseek_026_165_PLT_6_R1.fastq","GTseek_026_384i5_165_PLT_6_43684_R1.fastq","165","6"
"934","z0043684","z0043684_Mnov_GTseek_026_165_PLT_6_R2.fastq","GTseek_026_384i5_165_PLT_6_43684_R2.fastq","165","6"
"935","z0043686","z0043686_Mnov_GTseek_026_167_PLT_6_R1.fastq","GTseek_026_384i5_167_PLT_6_43686_R1.fastq","167","6"
"936","z0043686","z0043686_Mnov_GTseek_026_167_PLT_6_R2.fastq","GTseek_026_384i5_167_PLT_6_43686_R2.fastq","167","6"
"937","z0043693","z0043693_Mnov_GTseek_026_169_PLT_6_R1.fastq","GTseek_026_384i5_169_PLT_6_43693_R1.fastq","169","6"
"938","z0043693","z0043693_Mnov_GTseek_026_169_PLT_6_R2.fastq","GTseek_026_384i5_169_PLT_6_43693_R2.fastq","169","6"
"939","z0196894","z0196894_Mnov_GTseek_026_171_PLT_6_R1.fastq","GTseek_026_384i5_171_PLT_6_196894_R1.fastq","171","6"
"940","z0196894","z0196894_Mnov_GTseek_026_171_PLT_6_R2.fastq","GTseek_026_384i5_171_PLT_6_196894_R2.fastq","171","6"
"941","z0197667","z0197667_Mnov_GTseek_026_173_PLT_6_R1.fastq","GTseek_026_384i5_173_PLT_6_197667_R1.fastq","173","6"
"942","z0197667","z0197667_Mnov_GTseek_026_173_PLT_6_R2.fastq","GTseek_026_384i5_173_PLT_6_197667_R2.fastq","173","6"
"943","z0040403","z0040403_Mnov_GTseek_026_175_PLT_6_R1.fastq","GTseek_026_384i5_175_PLT_6_40403_R1.fastq","175","6"
"944","z0040403","z0040403_Mnov_GTseek_026_175_PLT_6_R2.fastq","GTseek_026_384i5_175_PLT_6_40403_R2.fastq","175","6"
"945","z0041145","z0041145_Mnov_GTseek_026_177_PLT_6_R1.fastq","GTseek_026_384i5_177_PLT_6_41145_R1.fastq","177","6"
"946","z0041145","z0041145_Mnov_GTseek_026_177_PLT_6_R2.fastq","GTseek_026_384i5_177_PLT_6_41145_R2.fastq","177","6"
"947","z0041250","z0041250_Mnov_GTseek_026_179_PLT_6_R1.fastq","GTseek_026_384i5_179_PLT_6_41250_R1.fastq","179","6"
"948","z0041250","z0041250_Mnov_GTseek_026_179_PLT_6_R2.fastq","GTseek_026_384i5_179_PLT_6_41250_R2.fastq","179","6"
"949","z0041494","z0041494_Mnov_GTseek_026_181_PLT_6_R1.fastq","GTseek_026_384i5_181_PLT_6_41494_R1.fastq","181","6"
"950","z0041494","z0041494_Mnov_GTseek_026_181_PLT_6_R2.fastq","GTseek_026_384i5_181_PLT_6_41494_R2.fastq","181","6"
"951","z0043477","z0043477_Mnov_GTseek_026_183_PLT_6_R1.fastq","GTseek_026_384i5_183_PLT_6_43477_R1.fastq","183","6"
"952","z0043477","z0043477_Mnov_GTseek_026_183_PLT_6_R2.fastq","GTseek_026_384i5_183_PLT_6_43477_R2.fastq","183","6"
"953","z0043491","z0043491_Mnov_GTseek_026_185_PLT_6_R1.fastq","GTseek_026_384i5_185_PLT_6_43491_R1.fastq","185","6"
"954","z0043491","z0043491_Mnov_GTseek_026_185_PLT_6_R2.fastq","GTseek_026_384i5_185_PLT_6_43491_R2.fastq","185","6"
"955","z0043504","z0043504_Mnov_GTseek_026_187_PLT_6_R1.fastq","GTseek_026_384i5_187_PLT_6_43504_R1.fastq","187","6"
"956","z0043504","z0043504_Mnov_GTseek_026_187_PLT_6_R2.fastq","GTseek_026_384i5_187_PLT_6_43504_R2.fastq","187","6"
"957","z0043642","z0043642_Mnov_GTseek_026_189_PLT_6_R1.fastq","GTseek_026_384i5_189_PLT_6_43642_R1.fastq","189","6"
