,LABID,Sample,Raw.Reads,On.Target.Reads,Pct.On.Target,Pct.GT,IFI,new.fnames
648,196759,GTseek_025_384i5_237_PLT_5_196759,57206,25055,43.8,80.21,0.47,z0196759_Mnov_GTseek_025_237_PLT_5.fastq
544,55910,GTseek_029_384i5_105_PLT_9_55910,74702,25230,33.77,69.27,0.44,z0055910_Mnov_GTseek_029_105_PLT_9.fastq
604,43491,GTseek_026_384i5_127_PLT_6_43491,97848,25256,25.81,76.04,0.48,z0043491_Mnov_GTseek_026_127_PLT_6.fastq
623,195724,GTseek_024_384i5_367_PLT_4_195724,119682,25838,21.59,77.86,0.48,z0195724_Mnov_GTseek_024_367_PLT_4.fastq
580,51844,GTseek_027_384i5_137_PLT_7_51844,120595,26201,21.73,73.18,0.34,z0051844_Mnov_GTseek_027_137_PLT_7.fastq
624,196748,GTseek_025_384i5_215_PLT_5_196748,62779,26265,41.84,77.86,0.55,z0196748_Mnov_GTseek_025_215_PLT_5.fastq
585,45792,GTseek_022_384i5_052_PLT_2_45792,90965,26405,29.03,74.22,0.75,z0045792_Mnov_GTseek_022_052_PLT_2.fastq
593,43477,GTseek_026_384i5_183_PLT_6_43477,249632,26409,10.58,74.74,0.43,z0043477_Mnov_GTseek_026_183_PLT_6.fastq
671,55986,GTseek_029_384i5_085_PLT_9_55986,101232,26467,26.14,82.29,0.27,z0055986_Mnov_GTseek_029_085_PLT_9.fastq
587,55965,GTseek_029_384i5_115_PLT_9_55965,100857,26515,26.29,74.22,0.39,z0055965_Mnov_GTseek_029_115_PLT_9.fastq
674,196831,GTseek_025_384i5_303_PLT_5_196831,70168,26520,37.8,82.81,0.21,z0196831_Mnov_GTseek_025_303_PLT_5.fastq
690,196765,GTseek_025_384i5_245_PLT_5_196765,59510,26551,44.62,86.2,0.61,z0196765_Mnov_GTseek_025_245_PLT_5.fastq
725,196825,GTseek_025_384i5_375_PLT_5_196825,105337,26800,25.44,92.19,0.99,z0196825_Mnov_GTseek_025_375_PLT_5.fastq
566,53073,GTseek_027_384i5_161_PLT_7_53073,72912,26803,36.76,71.88,0.19,z0053073_Mnov_GTseek_027_161_PLT_7.fastq
618,196722,GTseek_024_384i5_349_PLT_4_196722,104654,26919,25.72,77.34,0.78,z0196722_Mnov_GTseek_024_349_PLT_4.fastq
640,196711,GTseek_024_384i5_337_PLT_4_196711,98691,27013,27.37,79.43,0.71,z0196711_Mnov_GTseek_024_337_PLT_4.fastq
551,40465,GTseek_026_384i5_051_PLT_6_40465,66660,27164,40.75,70.57,0.68,z0040465_Mnov_GTseek_026_051_PLT_6.fastq
605,195791,GTseek_024_384i5_327_PLT_4_195791,45550,27189,59.69,76.3,0.23,z0195791_Mnov_GTseek_024_327_PLT_4.fastq
644,196841,GTseek_025_384i5_315_PLT_5_196841,48567,27243,56.09,79.69,0.45,z0196841_Mnov_GTseek_025_315_PLT_5.fastq
490,42288,GTseek_028_384i5_135_PLT_8_42288,150031,27432,18.28,60.68,0.16,z0042288_Mnov_GTseek_028_135_PLT_8.fastq
647,196732,GTseek_025_384i5_195_PLT_5_196732,58099,27465,47.27,80.21,0.31,z0196732_Mnov_GTseek_025_195_PLT_5.fastq
721,56011,GTseek_029_384i5_117_PLT_9_56011,172891,27639,15.99,91.67,0.54,z0056011_Mnov_GTseek_029_117_PLT_9.fastq
620,41153,GTseek_026_384i5_063_PLT_6_41153,53052,27800,52.4,77.6,0.63,z0041153_Mnov_GTseek_026_063_PLT_6.fastq
652,196830,GTseek_025_384i5_301_PLT_5_196830,178951,28075,15.69,80.47,0.71,z0196830_Mnov_GTseek_025_301_PLT_5.fastq
